County/City,Ward,Pct,"Mark Robert Warner","Edward Walter Gillespie","Robert Christopher Sarvis","All Others","Total Votes Cast"
,,,Democratic,Republican,Libertarian
"Accomack County",-,"101 - Chincoteague",353,769,18,0,"1,140"
"Accomack County",-,"201 - Atlantic",148,351,13,0,512
"Accomack County",-,"202 - Greenbackville",174,389,20,2,585
"Accomack County",-,"301 - Oak Hall",337,325,10,0,672
"Accomack County",-,"401 - Bloxom",83,201,9,1,294
"Accomack County",-,"402 - Parksley",151,332,23,1,507
"Accomack County",-,"403 - Saxis",32,79,4,0,115
"Accomack County",-,"501 - Mappsville",203,142,10,0,355
"Accomack County",-,"502 - Rue",227,72,6,0,305
"Accomack County",-,"601 - Accomac",321,428,30,0,779
"Accomack County",-,"602 - Tangier",36,144,1,0,181
"Accomack County",-,"701 - Onancock",416,495,35,1,947
"Accomack County",-,"702 - Onley",206,203,10,0,419
"Accomack County",-,"801 - Bobtown",152,274,17,1,444
"Accomack County",-,"802 - Melfa",271,215,12,0,498
"Accomack County",-,"803 - Wachapreague",115,225,13,0,353
"Accomack County",-,"901 - Painter",669,398,21,0,"1,088"
"Accomack County",-,"Ab - Central Absentee Precinct",243,217,4,0,464
"Albemarle County",-,"101 - Woodbrook",708,604,56,1,"1,369"
"Albemarle County",-,"103 - Branchlands",291,155,16,0,462
"Albemarle County",-,"104 - Agnor-hurt",614,317,36,1,968
"Albemarle County",-,"105 - Dunlora",798,478,41,1,"1,318"
"Albemarle County",-,"106 - Northside",649,661,45,0,"1,355"
"Albemarle County",-,"201 - Jack Jouett",525,430,33,1,989
"Albemarle County",-,"202 - University Hall",426,195,42,2,665
"Albemarle County",-,"203 - Georgetown",653,259,51,2,965
"Albemarle County",-,"204 - Belfield",328,274,21,0,623
"Albemarle County",-,"301 - Ivy","1,198",814,85,0,"2,097"
"Albemarle County",-,"302 - Red Hill",747,526,35,1,"1,309"
"Albemarle County",-,"304 - East Ivy",285,247,10,0,542
"Albemarle County",-,"305 - Country Green",565,403,34,0,"1,002"
"Albemarle County",-,"306 - Porters",368,218,22,0,608
"Albemarle County",-,"307 - Yellow Mountain",149,146,21,0,316
"Albemarle County",-,"401 - Scottsville",302,355,31,0,688
"Albemarle County",-,"402 - Monticello",269,297,27,1,594
"Albemarle County",-,"405 - Cale","1,166",523,60,0,"1,749"
"Albemarle County",-,"406 - Stone Robinson",587,826,42,0,"1,455"
"Albemarle County",-,"501 - Keswick",335,270,15,1,621
"Albemarle County",-,"502 - Stony Point",359,387,41,0,787
"Albemarle County",-,"503 - Hollymead",557,521,42,3,"1,123"
"Albemarle County",-,"504 - Free Bridge","1,022",674,56,0,"1,752"
"Albemarle County",-,"506 - Baker-butler",748,707,55,0,"1,510"
"Albemarle County",-,"601 - Crozet","1,035",788,75,1,"1,899"
"Albemarle County",-,"602 - Free Union",333,318,28,0,679
"Albemarle County",-,"603 - Earlysville",731,808,51,0,"1,590"
"Albemarle County",-,"604 - Brownsville","1,034",902,70,0,"2,006"
"Albemarle County",-,"Ab - Central Absentee Precinct","1,130",819,29,1,"1,979"
"Albemarle County",-,Provisional,12,8,0,0,20
"Alexandria City",-,"101 - Ladrey Senior Building",686,347,20,1,"1,054"
"Alexandria City",-,"102 - City Hall",775,488,22,4,"1,289"
"Alexandria City",-,"103 - Lyles Crouch School","1,124",547,35,2,"1,708"
"Alexandria City",-,"104 - Durant Center","1,254",421,52,0,"1,727"
"Alexandria City",-,"105 - Lee Center","1,091",442,42,1,"1,576"
"Alexandria City",-,"106 - Cora Kelly Center","1,177",298,35,1,"1,511"
"Alexandria City",-,"107 - Mt Vernon Recreation Center","1,567",491,37,3,"2,098"
"Alexandria City",-,"108 - George Washington Middle Sch","1,463",398,44,5,"1,910"
"Alexandria City",-,"109 - Fire Department Headquarters","1,236",567,57,1,"1,861"
"Alexandria City",-,"201 - Maury School","1,071",402,30,5,"1,508"
"Alexandria City",-,"202 - George Mason School","1,007",547,10,2,"1,566"
"Alexandria City",-,"203 - Agudas Achim Synagogue",998,359,29,3,"1,389"
"Alexandria City",-,"204 - Blessed Sacrament Church","1,003",477,20,0,"1,500"
"Alexandria City",-,"205 - Douglas Macarthur School","1,122",557,36,1,"1,716"
"Alexandria City",-,"206 - Chinquapin Park Recreation Ctr",832,333,18,0,"1,183"
"Alexandria City",-,"207 - Temple Beth El Synagogue","1,095",573,31,0,"1,699"
"Alexandria City",-,"208 - Nova Arts Center",788,303,35,0,"1,126"
"Alexandria City",-,"209 - James K Polk School","1,154",380,34,0,"1,568"
"Alexandria City",-,"210 - St James Church",524,237,9,1,771
"Alexandria City",-,"302 - Patrick Henry Rec Center",676,196,16,3,891
"Alexandria City",-,"303 - Charles E Beatley Library",945,241,35,0,"1,221"
"Alexandria City",-,"304 - Samuel Tucker School","1,061",309,32,2,"1,404"
"Alexandria City",-,"305 - John Adams School",884,249,28,2,"1,163"
"Alexandria City",-,"306 - William Ramsay School",911,226,30,2,"1,169"
"Alexandria City",-,"307 - South Port",915,290,30,1,"1,236"
"Alexandria City",-,"308 - Cameron Station Community Ctr",964,549,33,1,"1,547"
"Alexandria City",-,"Ab - Central Absentee Precinct","2,685","1,229",59,5,"3,978"
"Alexandria City",-,Provisional,39,24,0,0,63
"Alleghany County",-,"101 - Arritt",167,158,9,1,335
"Alleghany County",-,"103 - Dameron",62,83,4,0,149
"Alleghany County",-,"201 - Humpback Bridge",107,108,3,0,218
"Alleghany County",-,"202 - Dolly Ann",136,155,11,0,302
"Alleghany County",-,"301 - Callaghan",100,118,0,0,218
"Alleghany County",-,"302 - Griffith",167,197,14,1,379
"Alleghany County",-,"401 - Low Moor",142,116,6,0,264
"Alleghany County",-,"402 - Jackson Heights",169,180,10,0,359
"Alleghany County",-,"501 - Iron Gate",145,67,3,1,216
"Alleghany County",-,"502 - Peters Switch",196,200,6,0,402
"Alleghany County",-,"601 - District 1",412,237,15,0,664
