district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,775354,39271,736090,569178,101398,967,34080,596,4235,11898,4658,8174,860,6503,42260,114176,602286,24503,577734,455160,80500,794,24320,434,2342,5515,3630,4269,714,5163,28598,86750
2,766230,56211,710042,465478,172613,958,34326,622,6808,12932,3890,11059,1330,6186,45399,186869,593149,36846,556326,373979,133356,900,27396,447,3710,6376,3043,6153,944,4889,33550,140680
3,754278,58592,695663,304447,332827,1660,18010,442,7635,17528,3075,6549,3498,8232,24551,353867,583704,38028,545655,253711,253339,1430,15157,365,4637,8405,2422,3842,2350,6204,19003,264083
4,757326,57099,700223,330888,325651,1202,12766,589,4091,13867,3336,4653,3231,7746,17406,342728,604179,34114,570116,283037,255850,1127,11134,499,2902,7098,2952,2981,2580,6634,14102,265523
5,779401,28616,750774,554584,158241,683,10837,412,2433,12726,5560,4535,609,6864,15372,171733,627283,17797,609484,457729,127401,632,8963,287,1465,5144,4503,2883,422,5576,11847,133028
6,762203,48926,713246,618527,61889,746,9780,369,1966,10812,4406,4149,611,5763,13929,73311,603898,27116,576768,507622,47246,616,7925,349,1260,5127,3510,2604,507,4634,10529,52879
7,751393,109298,642106,410726,155085,776,34358,547,6960,18786,4124,9634,1142,6032,43996,175005,556254,66488,489767,322471,118944,697,25949,480,4217,7606,3126,5445,889,4692,31395,127432
8,680082,109095,570972,379554,90483,740,68875,224,3626,9398,2459,14748,958,4157,83637,100839,529590,70357,459208,311840,71344,605,56959,215,2412,5263,1993,7772,880,3478,64738,77488
9,765988,20836,745191,677810,43134,759,7951,445,1413,6637,4175,2620,392,5315,10572,50002,625274,13217,612072,559466,36113,669,6560,389,876,2737,3203,1701,421,4287,8259,39203
10,720582,107561,613010,414409,66516,672,99944,364,4628,8750,3065,13907,714,4458,113849,75992,521242,63949,457291,319317,49637,631,70753,308,2531,4430,2358,6639,644,3635,77386,54718
11,696415,86602,609828,376381,60518,809,137304,416,3558,8436,2494,19508,333,3636,156796,69281,531348,55583,475788,302119,47196,624,107479,325,2188,3960,1984,9615,234,2842,117092,51388
