district,CVAP_TOT24
1,62062
2,61987
3,57992
4,51730
5,65656
6,56060
7,62664
8,52998
9,57089
10,58686
11,60848
12,60278
13,55281
14,52422
15,62250
16,54815
17,61665
18,57555
19,54589
20,49332
21,54953
22,58098
23,56936
24,56104
25,56080
26,51463
27,53201
28,59080
29,59329
30,63659
31,67472
32,63039
33,67496
34,64381
35,70596
36,68220
37,69677
38,62558
39,67571
40,67126
41,69657
42,68968
43,69478
44,71175
45,68294
46,67911
47,66580
48,67848
49,64818
50,68239
51,68425
52,67492
53,70074
54,68096
55,65095
56,72265
57,60955
58,60217
59,68274
60,67558
61,64746
62,65591
63,63289
64,61060
65,66027
66,63753
67,70971
68,70065
69,68429
70,64145
71,68447
72,71321
73,67004
74,66923
75,67845
76,62162
77,60909
78,72404
79,69777
80,65001
81,63154
82,65928
83,74229
84,67763
85,64752
86,64086
87,67190
88,63578
89,64781
90,68811
91,64818
92,67083
93,63295
94,61726
95,60751
96,62428
97,65156
98,66264
99,64650
100,63766
