scope,contest_type,year,district,target_margin_pct,raw_margin_pct,raw_error_pct,raw_abs_error_pct,calibrated_margin_pct,calibrated_error_pct,calibrated_abs_error_pct,needs_calibration,status
state_house,president,2020,99,5.5,-0.917,-6.417,6.417,5.5,0.0,0.0,yes,ok
state_senate,president,2020,20,2.0,-3.347,-5.347,5.347,2.0,0.0,0.0,yes,ok
state_senate,president,2020,31,-13.0,-17.984,-4.984,4.984,-13.0,0.0,0.0,yes,ok
state_house,president,2020,89,-3.0,-6.591,-3.591,3.591,-3.0,-0.0,0.0,yes,ok
state_house,president,2020,82,-10.0,-12.934,-2.934,2.934,-10.0,0.0,0.0,yes,ok
state_house,president,2020,41,0.8,3.096,2.296,2.296,0.8,-0.0,0.0,yes,ok
state_senate,president,2020,24,-9.0,-10.751,-1.751,1.751,-9.0,-0.0,0.0,yes,ok
state_house,president,2020,64,0.7,-0.801,-1.501,1.501,0.7,0.0,0.0,yes,ok
congressional,president,2024,1,3.0,4.012,1.012,1.012,3.0,-0.0,0.0,yes,ok
state_senate,president,2020,4,0.3,-0.543,-0.843,0.843,0.3,0.0,0.0,no,ok
state_senate,president,2020,12,6.0,6.467,0.467,0.467,6.0,-0.0,0.0,no,ok
congressional,president,2020,2,-2.0,-2.443,-0.443,0.443,-2.0,-0.0,0.0,no,ok
congressional,president,2020,7,-7.0,-7.399,-0.399,0.399,-7.0,-0.0,0.0,no,ok
state_senate,president,2020,16,-17.0,-16.745,0.255,0.255,-17.0,0.0,0.0,no,ok
congressional,president,2020,10,-18.0,-17.946,0.054,0.054,-18.0,-0.0,0.0,no,ok
state_house,president,2020,73,6.5,6.522,0.022,0.022,6.5,0.0,0.0,no,ok
