county,precinct,office,district,party,candidate,votes
ACCOMACK,101 - CHINCOTEAGUE,President,,OTH,All Others,4
ACCOMACK,101 - CHINCOTEAGUE,President,,DEM,Barack Obama,542
ACCOMACK,101 - CHINCOTEAGUE,President,,LIB,Bob Barr,1
ACCOMACK,101 - CHINCOTEAGUE,President,,IND,Chuck Baldwin,1
ACCOMACK,101 - CHINCOTEAGUE,President,,GRN,Cynthia McKinney,2
ACCOMACK,101 - CHINCOTEAGUE,President,,REP,John McCain,1173
ACCOMACK,101 - CHINCOTEAGUE,President,,IND,Ralph Nader,12
ACCOMACK,201 - ATLANTIC,President,,DEM,Barack Obama,208
ACCOMACK,201 - ATLANTIC,President,,LIB,Bob Barr,5
ACCOMACK,201 - ATLANTIC,President,,IND,Chuck Baldwin,1
ACCOMACK,201 - ATLANTIC,President,,GRN,Cynthia McKinney,1
ACCOMACK,201 - ATLANTIC,President,,REP,John McCain,351
ACCOMACK,201 - ATLANTIC,President,,IND,Ralph Nader,3
ACCOMACK,202 - GREENBACKVILLE,President,,DEM,Barack Obama,185
ACCOMACK,202 - GREENBACKVILLE,President,,LIB,Bob Barr,1
ACCOMACK,202 - GREENBACKVILLE,President,,IND,Chuck Baldwin,1
ACCOMACK,202 - GREENBACKVILLE,President,,REP,John McCain,353
ACCOMACK,202 - GREENBACKVILLE,President,,IND,Ralph Nader,2
ACCOMACK,203 - HALLWOOD,President,,OTH,All Others,1
ACCOMACK,203 - HALLWOOD,President,,DEM,Barack Obama,108
ACCOMACK,203 - HALLWOOD,President,,LIB,Bob Barr,1
ACCOMACK,203 - HALLWOOD,President,,IND,Chuck Baldwin,1
ACCOMACK,203 - HALLWOOD,President,,REP,John McCain,214
ACCOMACK,203 - HALLWOOD,President,,IND,Ralph Nader,4
ACCOMACK,204 - SAXIS,President,,DEM,Barack Obama,55
ACCOMACK,204 - SAXIS,President,,LIB,Bob Barr,1
ACCOMACK,204 - SAXIS,President,,REP,John McCain,137
ACCOMACK,204 - SAXIS,President,,IND,Ralph Nader,1
ACCOMACK,205 - TANGIER,President,,OTH,All Others,1
ACCOMACK,205 - TANGIER,President,,DEM,Barack Obama,42
ACCOMACK,205 - TANGIER,President,,LIB,Bob Barr,1
ACCOMACK,205 - TANGIER,President,,REP,John McCain,241
ACCOMACK,205 - TANGIER,President,,IND,Ralph Nader,3
ACCOMACK,301 - NEW CHURCH,President,,OTH,All Others,1
ACCOMACK,301 - NEW CHURCH,President,,DEM,Barack Obama,489
ACCOMACK,301 - NEW CHURCH,President,,LIB,Bob Barr,4
ACCOMACK,301 - NEW CHURCH,President,,IND,Chuck Baldwin,4
ACCOMACK,301 - NEW CHURCH,President,,GRN,Cynthia McKinney,2
ACCOMACK,301 - NEW CHURCH,President,,REP,John McCain,228
ACCOMACK,301 - NEW CHURCH,President,,IND,Ralph Nader,5
ACCOMACK,302 - OAK HALL,President,,DEM,Barack Obama,472
ACCOMACK,302 - OAK HALL,President,,LIB,Bob Barr,2
ACCOMACK,302 - OAK HALL,President,,IND,Chuck Baldwin,3
ACCOMACK,302 - OAK HALL,President,,REP,John McCain,297
ACCOMACK,302 - OAK HALL,President,,IND,Ralph Nader,3
ACCOMACK,401 - BLOXOM,President,,OTH,All Others,1
ACCOMACK,401 - BLOXOM,President,,DEM,Barack Obama,174
ACCOMACK,401 - BLOXOM,President,,LIB,Bob Barr,6
ACCOMACK,401 - BLOXOM,President,,IND,Chuck Baldwin,1
ACCOMACK,401 - BLOXOM,President,,REP,John McCain,306
ACCOMACK,401 - BLOXOM,President,,IND,Ralph Nader,1
ACCOMACK,402 - PARKSLEY,President,,OTH,All Others,1
ACCOMACK,402 - PARKSLEY,President,,DEM,Barack Obama,409
ACCOMACK,402 - PARKSLEY,President,,LIB,Bob Barr,1
ACCOMACK,402 - PARKSLEY,President,,IND,Chuck Baldwin,2
ACCOMACK,402 - PARKSLEY,President,,REP,John McCain,503
ACCOMACK,402 - PARKSLEY,President,,IND,Ralph Nader,3
ACCOMACK,501 - MAPPSVILLE,President,,OTH,All Others,1
ACCOMACK,501 - MAPPSVILLE,President,,DEM,Barack Obama,442
ACCOMACK,501 - MAPPSVILLE,President,,LIB,Bob Barr,4
ACCOMACK,501 - MAPPSVILLE,President,,REP,John McCain,249
ACCOMACK,501 - MAPPSVILLE,President,,IND,Ralph Nader,2
ACCOMACK,502 - RUE,President,,DEM,Barack Obama,465
