county,precinct,office,district,party,candidate,votes
ACCOMACK COUNTY,101 - CHINCOTEAGUE,Governor,,OTH,All Others,1
ACCOMACK COUNTY,101 - CHINCOTEAGUE,Governor,,REP,"Kenneth Thomas Cuccinelli, II",678
ACCOMACK COUNTY,101 - CHINCOTEAGUE,Governor,,LIB,Robert Christopher Sarvis,37
ACCOMACK COUNTY,101 - CHINCOTEAGUE,Governor,,DEM,Terence Richard McAuliffe,346
ACCOMACK COUNTY,201 - ATLANTIC,Governor,,REP,"Kenneth Thomas Cuccinelli, II",329
ACCOMACK COUNTY,201 - ATLANTIC,Governor,,LIB,Robert Christopher Sarvis,22
ACCOMACK COUNTY,201 - ATLANTIC,Governor,,DEM,Terence Richard McAuliffe,125
ACCOMACK COUNTY,202 - GREENBACKVILLE,Governor,,OTH,All Others,1
ACCOMACK COUNTY,202 - GREENBACKVILLE,Governor,,REP,"Kenneth Thomas Cuccinelli, II",352
ACCOMACK COUNTY,202 - GREENBACKVILLE,Governor,,LIB,Robert Christopher Sarvis,18
ACCOMACK COUNTY,202 - GREENBACKVILLE,Governor,,DEM,Terence Richard McAuliffe,171
ACCOMACK COUNTY,301 - OAK HALL,Governor,,REP,"Kenneth Thomas Cuccinelli, II",300
ACCOMACK COUNTY,301 - OAK HALL,Governor,,LIB,Robert Christopher Sarvis,16
ACCOMACK COUNTY,301 - OAK HALL,Governor,,DEM,Terence Richard McAuliffe,334
ACCOMACK COUNTY,401 - BLOXOM,Governor,,REP,"Kenneth Thomas Cuccinelli, II",215
ACCOMACK COUNTY,401 - BLOXOM,Governor,,LIB,Robert Christopher Sarvis,13
ACCOMACK COUNTY,401 - BLOXOM,Governor,,DEM,Terence Richard McAuliffe,82
ACCOMACK COUNTY,402 - PARKSLEY,Governor,,REP,"Kenneth Thomas Cuccinelli, II",303
ACCOMACK COUNTY,402 - PARKSLEY,Governor,,LIB,Robert Christopher Sarvis,27
ACCOMACK COUNTY,402 - PARKSLEY,Governor,,DEM,Terence Richard McAuliffe,136
ACCOMACK COUNTY,403 - SAXIS,Governor,,OTH,All Others,1
ACCOMACK COUNTY,403 - SAXIS,Governor,,REP,"Kenneth Thomas Cuccinelli, II",63
ACCOMACK COUNTY,403 - SAXIS,Governor,,LIB,Robert Christopher Sarvis,5
ACCOMACK COUNTY,403 - SAXIS,Governor,,DEM,Terence Richard McAuliffe,26
ACCOMACK COUNTY,501 - MAPPSVILLE,Governor,,REP,"Kenneth Thomas Cuccinelli, II",138
ACCOMACK COUNTY,501 - MAPPSVILLE,Governor,,LIB,Robert Christopher Sarvis,11
ACCOMACK COUNTY,501 - MAPPSVILLE,Governor,,DEM,Terence Richard McAuliffe,177
ACCOMACK COUNTY,502 - RUE,Governor,,REP,"Kenneth Thomas Cuccinelli, II",75
ACCOMACK COUNTY,502 - RUE,Governor,,LIB,Robert Christopher Sarvis,10
ACCOMACK COUNTY,502 - RUE,Governor,,DEM,Terence Richard McAuliffe,213
ACCOMACK COUNTY,601 - ACCOMAC,Governor,,OTH,All Others,1
ACCOMACK COUNTY,601 - ACCOMAC,Governor,,REP,"Kenneth Thomas Cuccinelli, II",389
ACCOMACK COUNTY,601 - ACCOMAC,Governor,,LIB,Robert Christopher Sarvis,26
ACCOMACK COUNTY,601 - ACCOMAC,Governor,,DEM,Terence Richard McAuliffe,302
ACCOMACK COUNTY,602 - TANGIER,Governor,,OTH,All Others,1
ACCOMACK COUNTY,602 - TANGIER,Governor,,REP,"Kenneth Thomas Cuccinelli, II",146
ACCOMACK COUNTY,602 - TANGIER,Governor,,LIB,Robert Christopher Sarvis,2
ACCOMACK COUNTY,602 - TANGIER,Governor,,DEM,Terence Richard McAuliffe,14
ACCOMACK COUNTY,701 - ONANCOCK,Governor,,OTH,All Others,5
ACCOMACK COUNTY,701 - ONANCOCK,Governor,,REP,"Kenneth Thomas Cuccinelli, II",447
ACCOMACK COUNTY,701 - ONANCOCK,Governor,,LIB,Robert Christopher Sarvis,48
ACCOMACK COUNTY,701 - ONANCOCK,Governor,,DEM,Terence Richard McAuliffe,386
ACCOMACK COUNTY,702 - ONLEY,Governor,,OTH,All Others,2
ACCOMACK COUNTY,702 - ONLEY,Governor,,REP,"Kenneth Thomas Cuccinelli, II",208
ACCOMACK COUNTY,702 - ONLEY,Governor,,LIB,Robert Christopher Sarvis,17
ACCOMACK COUNTY,702 - ONLEY,Governor,,DEM,Terence Richard McAuliffe,186
ACCOMACK COUNTY,801 - BOBTOWN,Governor,,OTH,All Others,3
ACCOMACK COUNTY,801 - BOBTOWN,Governor,,REP,"Kenneth Thomas Cuccinelli, II",254
ACCOMACK COUNTY,801 - BOBTOWN,Governor,,LIB,Robert Christopher Sarvis,31
ACCOMACK COUNTY,801 - BOBTOWN,Governor,,DEM,Terence Richard McAuliffe,156
ACCOMACK COUNTY,802 - MELFA,Governor,,OTH,All Others,2
ACCOMACK COUNTY,802 - MELFA,Governor,,REP,"Kenneth Thomas Cuccinelli, II",221
ACCOMACK COUNTY,802 - MELFA,Governor,,LIB,Robert Christopher Sarvis,13
ACCOMACK COUNTY,802 - MELFA,Governor,,DEM,Terence Richard McAuliffe,263
ACCOMACK COUNTY,803 - WACHAPREAGUE,Governor,,REP,"Kenneth Thomas Cuccinelli, II",220
