county,precinct,office,district,party,candidate,votes
ACCOMACK,101 - CHINCOTEAGUE,U.S. Senate,,REP,Corey Alan Stewart,932
ACCOMACK,101 - CHINCOTEAGUE,U.S. Senate,,LIB,Matthew Joseph Waters,16
ACCOMACK,101 - CHINCOTEAGUE,U.S. Senate,,DEM,Timothy Michael Kaine,487
ACCOMACK,201 - ATLANTIC,U.S. Senate,,REP,Corey Alan Stewart,430
ACCOMACK,201 - ATLANTIC,U.S. Senate,,LIB,Matthew Joseph Waters,10
ACCOMACK,201 - ATLANTIC,U.S. Senate,,DEM,Timothy Michael Kaine,159
ACCOMACK,202 - GREENBACKVILLE,U.S. Senate,,OTH,All Others,1
ACCOMACK,202 - GREENBACKVILLE,U.S. Senate,,REP,Corey Alan Stewart,541
ACCOMACK,202 - GREENBACKVILLE,U.S. Senate,,LIB,Matthew Joseph Waters,7
ACCOMACK,202 - GREENBACKVILLE,U.S. Senate,,DEM,Timothy Michael Kaine,277
ACCOMACK,301 - NEW CHURCH,U.S. Senate,,REP,Corey Alan Stewart,447
ACCOMACK,301 - NEW CHURCH,U.S. Senate,,LIB,Matthew Joseph Waters,10
ACCOMACK,301 - NEW CHURCH,U.S. Senate,,DEM,Timothy Michael Kaine,515
ACCOMACK,401 - BLOXOM,U.S. Senate,,REP,Corey Alan Stewart,260
ACCOMACK,401 - BLOXOM,U.S. Senate,,LIB,Matthew Joseph Waters,4
ACCOMACK,401 - BLOXOM,U.S. Senate,,DEM,Timothy Michael Kaine,106
ACCOMACK,402 - PARKSLEY,U.S. Senate,,REP,Corey Alan Stewart,363
ACCOMACK,402 - PARKSLEY,U.S. Senate,,LIB,Matthew Joseph Waters,7
ACCOMACK,402 - PARKSLEY,U.S. Senate,,DEM,Timothy Michael Kaine,236
ACCOMACK,403 - SAXIS,U.S. Senate,,REP,Corey Alan Stewart,117
ACCOMACK,403 - SAXIS,U.S. Senate,,DEM,Timothy Michael Kaine,39
ACCOMACK,501 - MAPPSVILLE,U.S. Senate,,OTH,All Others,1
ACCOMACK,501 - MAPPSVILLE,U.S. Senate,,REP,Corey Alan Stewart,180
ACCOMACK,501 - MAPPSVILLE,U.S. Senate,,LIB,Matthew Joseph Waters,4
ACCOMACK,501 - MAPPSVILLE,U.S. Senate,,DEM,Timothy Michael Kaine,299
ACCOMACK,502 - RUE,U.S. Senate,,OTH,All Others,1
ACCOMACK,502 - RUE,U.S. Senate,,REP,Corey Alan Stewart,98
ACCOMACK,502 - RUE,U.S. Senate,,DEM,Timothy Michael Kaine,312
ACCOMACK,601 - ACCOMAC,U.S. Senate,,REP,Corey Alan Stewart,495
ACCOMACK,601 - ACCOMAC,U.S. Senate,,LIB,Matthew Joseph Waters,11
ACCOMACK,601 - ACCOMAC,U.S. Senate,,DEM,Timothy Michael Kaine,436
ACCOMACK,602 - TANGIER,U.S. Senate,,REP,Corey Alan Stewart,171
ACCOMACK,602 - TANGIER,U.S. Senate,,LIB,Matthew Joseph Waters,2
ACCOMACK,602 - TANGIER,U.S. Senate,,DEM,Timothy Michael Kaine,30
ACCOMACK,701 - NANDUA,U.S. Senate,,OTH,All Others,3
ACCOMACK,701 - NANDUA,U.S. Senate,,REP,Corey Alan Stewart,763
ACCOMACK,701 - NANDUA,U.S. Senate,,LIB,Matthew Joseph Waters,19
ACCOMACK,701 - NANDUA,U.S. Senate,,DEM,Timothy Michael Kaine,755
ACCOMACK,801 - BOBTOWN,U.S. Senate,,OTH,All Others,1
ACCOMACK,801 - BOBTOWN,U.S. Senate,,REP,Corey Alan Stewart,311
ACCOMACK,801 - BOBTOWN,U.S. Senate,,LIB,Matthew Joseph Waters,3
ACCOMACK,801 - BOBTOWN,U.S. Senate,,DEM,Timothy Michael Kaine,214
ACCOMACK,802 - MELFA,U.S. Senate,,REP,Corey Alan Stewart,308
ACCOMACK,802 - MELFA,U.S. Senate,,LIB,Matthew Joseph Waters,8
ACCOMACK,802 - MELFA,U.S. Senate,,DEM,Timothy Michael Kaine,358
ACCOMACK,803 - WACHAPREAGUE,U.S. Senate,,REP,Corey Alan Stewart,285
ACCOMACK,803 - WACHAPREAGUE,U.S. Senate,,LIB,Matthew Joseph Waters,10
ACCOMACK,803 - WACHAPREAGUE,U.S. Senate,,DEM,Timothy Michael Kaine,155
ACCOMACK,901 - PAINTER,U.S. Senate,,REP,Corey Alan Stewart,492
ACCOMACK,901 - PAINTER,U.S. Senate,,LIB,Matthew Joseph Waters,14
ACCOMACK,901 - PAINTER,U.S. Senate,,DEM,Timothy Michael Kaine,869
ACCOMACK,AB - CENTRAL ABSENTEE PRECINCT,U.S. Senate,,OTH,All Others,1
ACCOMACK,AB - CENTRAL ABSENTEE PRECINCT,U.S. Senate,,REP,Corey Alan Stewart,412
ACCOMACK,AB - CENTRAL ABSENTEE PRECINCT,U.S. Senate,,LIB,Matthew Joseph Waters,10
ACCOMACK,AB - CENTRAL ABSENTEE PRECINCT,U.S. Senate,,DEM,Timothy Michael Kaine,748
ACCOMACK,PROVISIONAL,U.S. Senate,,DEM,Timothy Michael Kaine,2
ALBEMARLE,101 - WOODBROOK,U.S. Senate,,OTH,All Others,4
ALBEMARLE,101 - WOODBROOK,U.S. Senate,,REP,Corey Alan Stewart,591
ALBEMARLE,101 - WOODBROOK,U.S. Senate,,LIB,Matthew Joseph Waters,53
ALBEMARLE,101 - WOODBROOK,U.S. Senate,,DEM,Timothy Michael Kaine,1268
ALBEMARLE,103 - BRANCHLANDS,U.S. Senate,,OTH,All Others,1
ALBEMARLE,103 - BRANCHLANDS,U.S. Senate,,REP,Corey Alan Stewart,170
ALBEMARLE,103 - BRANCHLANDS,U.S. Senate,,LIB,Matthew Joseph Waters,20
ALBEMARLE,103 - BRANCHLANDS,U.S. Senate,,DEM,Timothy Michael Kaine,536
ALBEMARLE,104 - AGNOR-HURT,U.S. Senate,,OTH,All Others,1
ALBEMARLE,104 - AGNOR-HURT,U.S. Senate,,REP,Corey Alan Stewart,343
ALBEMARLE,104 - AGNOR-HURT,U.S. Senate,,LIB,Matthew Joseph Waters,30
ALBEMARLE,104 - AGNOR-HURT,U.S. Senate,,DEM,Timothy Michael Kaine,1115
ALBEMARLE,105 - DUNLORA,U.S. Senate,,OTH,All Others,1
ALBEMARLE,105 - DUNLORA,U.S. Senate,,REP,Corey Alan Stewart,493
ALBEMARLE,105 - DUNLORA,U.S. Senate,,LIB,Matthew Joseph Waters,51
ALBEMARLE,105 - DUNLORA,U.S. Senate,,DEM,Timothy Michael Kaine,1641
ALBEMARLE,106 - NORTHSIDE,U.S. Senate,,OTH,All Others,3
ALBEMARLE,106 - NORTHSIDE,U.S. Senate,,REP,Corey Alan Stewart,798
ALBEMARLE,106 - NORTHSIDE,U.S. Senate,,LIB,Matthew Joseph Waters,60
ALBEMARLE,106 - NORTHSIDE,U.S. Senate,,DEM,Timothy Michael Kaine,1367
