"county","precinct","office","district","party","candidate","votes"
"ACCOMACK COUNTY","101 - CHINCOTEAGUE","U.S. House","2","REP","Jen A. Kiggans","1405"
"ACCOMACK COUNTY","101 - CHINCOTEAGUE","U.S. House","2","DEM","Missy Cotter Smasal","749"
"ACCOMACK COUNTY","101 - CHINCOTEAGUE","U.S. House","2","IND","Robert E. Reid, Jr.","41"
"ACCOMACK COUNTY","101 - CHINCOTEAGUE","U.S. House","2","","Write-Ins","6"
"ACCOMACK COUNTY","201 - ATLANTIC","U.S. House","2","REP","Jen A. Kiggans","543"
"ACCOMACK COUNTY","201 - ATLANTIC","U.S. House","2","DEM","Missy Cotter Smasal","197"
"ACCOMACK COUNTY","201 - ATLANTIC","U.S. House","2","IND","Robert E. Reid, Jr.","16"
"ACCOMACK COUNTY","201 - ATLANTIC","U.S. House","2","","Write-Ins","1"
"ACCOMACK COUNTY","202 - GREENBACKVILLE","U.S. House","2","REP","Jen A. Kiggans","947"
"ACCOMACK COUNTY","202 - GREENBACKVILLE","U.S. House","2","DEM","Missy Cotter Smasal","370"
"ACCOMACK COUNTY","202 - GREENBACKVILLE","U.S. House","2","IND","Robert E. Reid, Jr.","19"
"ACCOMACK COUNTY","202 - GREENBACKVILLE","U.S. House","2","","Write-Ins","1"
"ACCOMACK COUNTY","301 - NEW CHURCH","U.S. House","2","REP","Jen A. Kiggans","748"
"ACCOMACK COUNTY","301 - NEW CHURCH","U.S. House","2","DEM","Missy Cotter Smasal","824"
"ACCOMACK COUNTY","301 - NEW CHURCH","U.S. House","2","IND","Robert E. Reid, Jr.","40"
"ACCOMACK COUNTY","301 - NEW CHURCH","U.S. House","2","","Write-Ins","2"
"ACCOMACK COUNTY","401 - BLOXOM","U.S. House","2","REP","Jen A. Kiggans","482"
"ACCOMACK COUNTY","401 - BLOXOM","U.S. House","2","DEM","Missy Cotter Smasal","186"
"ACCOMACK COUNTY","401 - BLOXOM","U.S. House","2","IND","Robert E. Reid, Jr.","14"
"ACCOMACK COUNTY","401 - BLOXOM","U.S. House","2","","Write-Ins","3"
"ACCOMACK COUNTY","402 - PARKSLEY","U.S. House","2","REP","Jen A. Kiggans","490"
"ACCOMACK COUNTY","402 - PARKSLEY","U.S. House","2","DEM","Missy Cotter Smasal","265"
"ACCOMACK COUNTY","402 - PARKSLEY","U.S. House","2","IND","Robert E. Reid, Jr.","14"
"ACCOMACK COUNTY","403 - SAXIS","U.S. House","2","REP","Jen A. Kiggans","171"
"ACCOMACK COUNTY","403 - SAXIS","U.S. House","2","DEM","Missy Cotter Smasal","45"
"ACCOMACK COUNTY","403 - SAXIS","U.S. House","2","IND","Robert E. Reid, Jr.","4"
"ACCOMACK COUNTY","403 - SAXIS","U.S. House","2","","Write-Ins","1"
"ACCOMACK COUNTY","501 - MAPPSVILLE","U.S. House","2","REP","Jen A. Kiggans","299"
"ACCOMACK COUNTY","501 - MAPPSVILLE","U.S. House","2","DEM","Missy Cotter Smasal","390"
"ACCOMACK COUNTY","501 - MAPPSVILLE","U.S. House","2","IND","Robert E. Reid, Jr.","11"
"ACCOMACK COUNTY","501 - MAPPSVILLE","U.S. House","2","","Write-Ins","3"
"ACCOMACK COUNTY","502 - RUE","U.S. House","2","REP","Jen A. Kiggans","157"
"ACCOMACK COUNTY","502 - RUE","U.S. House","2","DEM","Missy Cotter Smasal","424"
"ACCOMACK COUNTY","502 - RUE","U.S. House","2","IND","Robert E. Reid, Jr.","11"
"ACCOMACK COUNTY","502 - RUE","U.S. House","2","","Write-Ins","1"
"ACCOMACK COUNTY","601 - ACCOMAC","U.S. House","2","REP","Jen A. Kiggans","865"
"ACCOMACK COUNTY","601 - ACCOMAC","U.S. House","2","DEM","Missy Cotter Smasal","586"
"ACCOMACK COUNTY","601 - ACCOMAC","U.S. House","2","IND","Robert E. Reid, Jr.","28"
"ACCOMACK COUNTY","601 - ACCOMAC","U.S. House","2","","Write-Ins","3"
"ACCOMACK COUNTY","602 - TANGIER","U.S. House","2","REP","Jen A. Kiggans","208"
"ACCOMACK COUNTY","602 - TANGIER","U.S. House","2","DEM","Missy Cotter Smasal","24"
"ACCOMACK COUNTY","602 - TANGIER","U.S. House","2","IND","Robert E. Reid, Jr.","2"
"ACCOMACK COUNTY","701 - NANDUA","U.S. House","2","REP","Jen A. Kiggans","1188"
