legacy_id,locality,legacy_prec_id,legacy_precinct_name,current_prec_id,current_precinct_name,match_method,legacy_area_overlap
1,ACCOMACK COUNTY,101,101 - CHINCOTEAGUE,101,101 - CHINCOTEAGUE,exact_key,1.0
2,ACCOMACK COUNTY,201,201 - ATLANTIC,201,201 - ATLANTIC,exact_key,1.0
3,ACCOMACK COUNTY,202,202 - GREENBACKVILLE,202,202 - GREENBACKVILLE,exact_key,1.0
4,ACCOMACK COUNTY,301,301 - NEW CHURCH,301,301 - NEW CHURCH,exact_key,1.0
5,ACCOMACK COUNTY,401,401 - BLOXOM,401,401 - BLOXOM,exact_key,1.0
6,ACCOMACK COUNTY,402,402 - PARKSLEY,402,402 - PARKSLEY,exact_key,1.0
7,ACCOMACK COUNTY,403,403 - SAXIS,403,403 - SAXIS,exact_key,1.0
8,ACCOMACK COUNTY,501,501 - MAPPSVILLE,501,501 - MAPPSVILLE,exact_key,1.0
9,ACCOMACK COUNTY,502,502 - RUE,502,502 - RUE,exact_key,1.0
10,ACCOMACK COUNTY,601,601 - ACCOMAC,601,601 - ACCOMAC,exact_key,1.0
11,ACCOMACK COUNTY,602,602 - TANGIER,602,602 - TANGIER,exact_key,1.0
12,ACCOMACK COUNTY,701,701 - NANDUA,701,701 - NANDUA,exact_key,1.0
13,ACCOMACK COUNTY,801,801 - BOBTOWN,801,801 - BOBTOWN,exact_key,1.0
14,ACCOMACK COUNTY,802,802 - MELFA,802,802 - MELFA,exact_key,1.0
15,ACCOMACK COUNTY,803,803 - WACHAPREAGUE,803,803 - WACHAPREAGUE,exact_key,1.0
16,ACCOMACK COUNTY,901,901 - PAINTER,901,901 - PAINTER,exact_key,1.0
17,ALBEMARLE COUNTY,101,101 - WOODBROOK,101,101 - WOODBROOK,exact_key,1.0
18,ALBEMARLE COUNTY,103,103 - BRANCHLANDS,103,103 - BRANCHLANDS,exact_key,1.0
19,ALBEMARLE COUNTY,104,104 - AGNOR-HURT,104,104 - AGNOR HURT,exact_key,1.0
20,ALBEMARLE COUNTY,105,105 - DUNLORA,105,105 - DUNLORA,exact_key,1.0
21,ALBEMARLE COUNTY,106,106 - NORTHSIDE,106,106 - NORTHSIDE,exact_key,1.0
22,ALBEMARLE COUNTY,201,201 - JACK JOUETT,201,201 - JACK JOUETT,exact_key,1.0
23,ALBEMARLE COUNTY,202,202 - UNIVERSITY HALL,202,202 - UNIVERSITY,exact_key,1.0
24,ALBEMARLE COUNTY,203,203 - GEORGETOWN,203,203 - GEORGETOWN,exact_key,1.0
25,ALBEMARLE COUNTY,301,301 - IVY,301,301 - IVY,exact_key,1.0
26,ALBEMARLE COUNTY,302,302 - RED HILL,302,302 - RED HILL,exact_key,1.0
27,ALBEMARLE COUNTY,304,304 - EAST IVY,304,304 - EAST IVY,exact_key,1.0
28,ALBEMARLE COUNTY,305,305 - COUNTRY GREEN,305,305 - COUNTRY GREEN,exact_key,1.0
29,ALBEMARLE COUNTY,306,306 - PORTERS,306,306 - PORTERS,exact_key,1.0
30,ALBEMARLE COUNTY,307,307 - YELLOW MOUNTAIN,307,307 - YELLOW MOUNTAIN,exact_key,1.0
31,ALBEMARLE COUNTY,401,401 - SCOTTSVILLE,401,401 - SCOTTSVILLE,exact_key,1.0
32,ALBEMARLE COUNTY,402,402 - MONTICELLO,402,402 - MONTICELLO,exact_key,1.0
33,ALBEMARLE COUNTY,405,405 - CALE,405,405 - MOUNTAIN VIEW,exact_key,1.0
34,ALBEMARLE COUNTY,406,406 - STONE ROBINSON,406,406 - STONE ROBINSON,exact_key,1.0
35,ALBEMARLE COUNTY,407,407 - BISCUIT RUN,407,407 - BISCUIT RUN,exact_key,1.0
36,ALBEMARLE COUNTY,501,501 - KESWICK,501,501 - KESWICK,exact_key,1.0
37,ALBEMARLE COUNTY,502,502 - STONY POINT,502,502 - STONY POINT,exact_key,1.0
38,ALBEMARLE COUNTY,503,503 - HOLLYMEAD,503,503 - HOLLYMEAD,exact_key,1.0
39,ALBEMARLE COUNTY,504,504 - FREE BRIDGE,504,504 - FREE BRIDGE,exact_key,1.0
40,ALBEMARLE COUNTY,506,506 - BAKER-BUTLER,506,506 - BAKER-BUTLER,exact_key,1.0
41,ALBEMARLE COUNTY,507,507 - PANTOPS,507,507 - PANTOPS,exact_key,1.0
42,ALBEMARLE COUNTY,601,601 - CROZET,601,601 - CROZET,exact_key,1.0
43,ALBEMARLE COUNTY,602,602 - FREE UNION,602,602 - FREE UNION,exact_key,1.0
44,ALBEMARLE COUNTY,603,603 - EARLYSVILLE,603,603 - EARLYSVILLE,exact_key,1.0
45,ALBEMARLE COUNTY,604,604 - BROWNSVILLE,604,604 - BROWNSVILLE,exact_key,1.0
46,ALBEMARLE COUNTY,606,606 - MECHUMS RIVER,606,606 - MECHUMS RIVER,exact_key,1.0
47,ALLEGHANY COUNTY,101,101 - ARRITT,101,ARRITT,exact_key,1.0
48,ALLEGHANY COUNTY,103,103 - DAMERON,103,DAMERON,exact_key,1.0
49,ALLEGHANY COUNTY,201,201 - HUMPBACK BRIDGE,201,HUMPBACK BRIDGE,exact_key,1.0
50,ALLEGHANY COUNTY,202,202 - DOLLY ANN,202,DOLLY ANN,exact_key,1.0
51,ALLEGHANY COUNTY,301,301 - CALLAGHAN,301,CALLAGHAN,exact_key,1.0
52,ALLEGHANY COUNTY,302,302 - GRIFFITH,302,GRIFFITH,exact_key,1.0
53,ALLEGHANY COUNTY,401,401 - LOW MOOR,401,LOW MOOR,exact_key,1.0
54,ALLEGHANY COUNTY,402,402 - JACKSON HEIGHTS,402,JACKSON HEIGHTS,exact_key,1.0
55,ALLEGHANY COUNTY,501,501 - IRON GATE,501,IRON GATE,exact_key,1.0
56,ALLEGHANY COUNTY,502,502 - PETERS SWITCH,502,PETERS SWITCH,exact_key,1.0
57,ALLEGHANY COUNTY,601,601 - DISTRICT 1,601,CLIFTON FORGE EAST,exact_key,1.0
58,ALLEGHANY COUNTY,701,701 - DISTRICT 2,701,CLIFTON FORGE WEST,exact_key,1.0
59,AMELIA COUNTY,101,101 - NUMBER ONE,101,NUMBER ONE,exact_key,1.0
60,AMELIA COUNTY,201,201 - NUMBER TWO,201,NUMBER TWO,exact_key,1.0
