contest_id,election_id,election_date,election_type,primary_party,question_text,question_type,office_id,office_name,office_modifier,district_id,district_type,district_name,candidate_id,candidate_name,retention_candidate_id,retention_candidate_name,division_id,division_type,division_name,vote_channel,is_winner,number_seats,candidate_party_id,candidate_party_name,votes
156400,434,2022-11-08T00:00:00Z,General Election,,,,5,U.S. House,,27254,Congressional District,1,17243,Robert Joseph Wittman,,,2948,Locality,Chesterfield County,,true,1,2,Republican,39866
156400,434,2022-11-08T00:00:00Z,General Election,,,,5,U.S. House,,27254,Congressional District,1,45525,"Herbert Carroll Jones, Jr",,,2948,Locality,Chesterfield County,,false,1,1,Democratic,35601
156400,434,2022-11-08T00:00:00Z,General Election,,,,5,U.S. House,,27254,Congressional District,1,83432,David Bruce Foster,,,2948,Locality,Chesterfield County,,false,1,278,Independent,740
156400,434,2022-11-08T00:00:00Z,General Election,,,,5,U.S. House,,27254,Congressional District,1,6,Write-Ins,,,2948,Locality,Chesterfield County,,false,1,,,66
156400,434,2022-11-08T00:00:00Z,General Election,,,,5,U.S. House,,27254,Congressional District,1,4,Total Votes Cast,,,2948,Locality,Chesterfield County,,false,1,,,76273
156400,434,2022-11-08T00:00:00Z,General Election,,,,5,U.S. House,,27254,Congressional District,1,3,Undervotes,,,2948,Locality,Chesterfield County,,false,1,,,0
156400,434,2022-11-08T00:00:00Z,General Election,,,,5,U.S. House,,27254,Congressional District,1,17243,Robert Joseph Wittman,,,29075,Precinct,##ev - Central Absentee Precinct,,true,1,2,Republican,9193
156400,434,2022-11-08T00:00:00Z,General Election,,,,5,U.S. House,,27254,Congressional District,1,45525,"Herbert Carroll Jones, Jr",,,29075,Precinct,##ev - Central Absentee Precinct,,false,1,1,Democratic,8294
156400,434,2022-11-08T00:00:00Z,General Election,,,,5,U.S. House,,27254,Congressional District,1,83432,David Bruce Foster,,,29075,Precinct,##ev - Central Absentee Precinct,,false,1,278,Independent,116
156400,434,2022-11-08T00:00:00Z,General Election,,,,5,U.S. House,,27254,Congressional District,1,6,Write-Ins,,,29075,Precinct,##ev - Central Absentee Precinct,,false,1,,,8
156400,434,2022-11-08T00:00:00Z,General Election,,,,5,U.S. House,,27254,Congressional District,1,4,Total Votes Cast,,,29075,Precinct,##ev - Central Absentee Precinct,,false,1,,,17611
156400,434,2022-11-08T00:00:00Z,General Election,,,,5,U.S. House,,27254,Congressional District,1,3,Undervotes,,,29075,Precinct,##ev - Central Absentee Precinct,,false,1,,,0
156400,434,2022-11-08T00:00:00Z,General Election,,,,5,U.S. House,,27254,Congressional District,1,17243,Robert Joseph Wittman,,,29078,Precinct,##pe - Central Absentee Precinct,,false,1,2,Republican,151
